model,category_id,class_name,tp,fp,fn,precision,recall,f1
EfficientNet-1,1,laptop,529,315,22,0.6267772511848341,0.9600725952813067,0.7584229390681003
EfficientNet-1,2,lighter,21,182,156,0.10344827586206896,0.11864406779661017,0.11052631578947368
EfficientNet-1,3,portable_charger_2,324,598,61,0.351409978308026,0.8415584415584415,0.4957918898240245
EfficientNet-1,4,iron_shoe,103,1052,207,0.08917748917748917,0.33225806451612905,0.14061433447098975
EfficientNet-1,5,straight_knife,108,345,78,0.23841059602649006,0.5806451612903226,0.3380281690140845
EfficientNet-1,6,folding_knife,8,82,46,0.08888888888888889,0.14814814814814814,0.1111111111111111
EfficientNet-1,7,scissor,195,435,63,0.30952380952380953,0.7558139534883721,0.4391891891891892
EfficientNet-1,8,multi-tool_knife,332,624,37,0.3472803347280335,0.8997289972899729,0.5011320754716981
EfficientNet-1,9,umbrella,359,702,75,0.3383600377002828,0.8271889400921659,0.4802675585284282
EfficientNet-1,10,glass_bottle,397,1819,208,0.17915162454873645,0.656198347107438,0.28146047500886207
EfficientNet-1,11,battery,649,2983,316,0.17868942731277532,0.672538860103627,0.2823580596040896
EfficientNet-1,12,metal_cup,502,648,37,0.4365217391304348,0.9313543599257885,0.5944345766725874
EfficientNet-1,13,nail_clippers,217,634,104,0.25499412455934195,0.67601246105919,0.3703071672354949
EfficientNet-1,14,pressure_tank,142,385,74,0.269449715370019,0.6574074074074074,0.3822341857335128
EfficientNet-1,15,spray_alcohol,106,1094,387,0.08833333333333333,0.2150101419878296,0.12522150029533372
EfficientNet-1,16,portable_charger_1,295,675,58,0.30412371134020616,0.8356940509915014,0.44595616024187446
EfficientNet-1,17,utility_knife,132,214,46,0.3815028901734104,0.7415730337078652,0.5038167938931298
EfficientNet-1,18,mobile_phone,978,1762,93,0.35693430656934305,0.9131652661064426,0.5132511151928628
EfficientNet-1,19,metal_can,313,1086,78,0.2237312365975697,0.8005115089514067,0.3497206703910614
EfficientNet-1,20,drink_bottle,67,340,73,0.16461916461916462,0.4785714285714286,0.24497257769652653
ResNet50-1,1,laptop,530,430,21,0.5520833333333334,0.9618874773139746,0.7015221707478491
ResNet50-1,2,lighter,16,82,161,0.16326530612244897,0.0903954802259887,0.11636363636363635
ResNet50-1,3,portable_charger_2,328,582,57,0.36043956043956044,0.8519480519480519,0.5065637065637065
ResNet50-1,4,iron_shoe,114,1132,196,0.09149277688603531,0.36774193548387096,0.14652956298200515
ResNet50-1,5,straight_knife,96,345,90,0.21768707482993196,0.5161290322580645,0.3062200956937799
ResNet50-1,6,folding_knife,12,53,42,0.18461538461538463,0.2222222222222222,0.20168067226890757
ResNet50-1,7,scissor,195,390,63,0.3333333333333333,0.7558139534883721,0.4626334519572954
ResNet50-1,8,multi-tool_knife,340,634,29,0.3490759753593429,0.9214092140921409,0.5063291139240506
ResNet50-1,9,umbrella,362,881,72,0.2912308930008045,0.8341013824884793,0.4317233154442457
ResNet50-1,10,glass_bottle,392,1876,213,0.1728395061728395,0.6479338842975206,0.2728854855551688
ResNet50-1,11,battery,670,3240,295,0.17135549872122763,0.694300518134715,0.2748717948717949
ResNet50-1,12,metal_cup,504,772,35,0.3949843260188088,0.935064935064935,0.5553719008264463
ResNet50-1,13,nail_clippers,213,723,108,0.22756410256410256,0.6635514018691588,0.3389021479713604
ResNet50-1,14,pressure_tank,141,383,75,0.26908396946564883,0.6527777777777778,0.3810810810810811
ResNet50-1,15,spray_alcohol,124,953,369,0.11513463324048283,0.2515212981744422,0.15796178343949044
ResNet50-1,16,portable_charger_1,289,652,64,0.3071200850159405,0.8186968838526912,0.44667697063369405
ResNet50-1,17,utility_knife,131,202,47,0.3933933933933934,0.7359550561797753,0.512720156555773
ResNet50-1,18,mobile_phone,981,1885,90,0.3422889043963713,0.9159663865546218,0.4983489966979933
ResNet50-1,19,metal_can,310,1120,81,0.21678321678321677,0.7928388746803069,0.3404722679846238
ResNet50-1,20,drink_bottle,70,453,70,0.1338432122370937,0.5,0.21116138763197587
RT-DETR-1,1,laptop,539,98,12,0.8461538461538461,0.9782214156079855,0.9074074074074074
RT-DETR-1,2,lighter,117,220,60,0.34718100890207715,0.6610169491525424,0.4552529182879377
RT-DETR-1,3,portable_charger_2,357,186,28,0.6574585635359116,0.9272727272727272,0.7693965517241379
RT-DETR-1,4,iron_shoe,246,156,64,0.6119402985074627,0.7935483870967742,0.6910112359550561
RT-DETR-1,5,straight_knife,141,196,45,0.41839762611275966,0.7580645161290323,0.5391969407265774
RT-DETR-1,6,folding_knife,19,71,35,0.2111111111111111,0.35185185185185186,0.26388888888888884
RT-DETR-1,7,scissor,217,110,41,0.6636085626911316,0.8410852713178295,0.7418803418803419
RT-DETR-1,8,multi-tool_knife,344,234,25,0.5951557093425606,0.9322493224932249,0.7265047518479409
RT-DETR-1,9,umbrella,411,114,23,0.7828571428571428,0.9470046082949308,0.8571428571428571
RT-DETR-1,10,glass_bottle,500,546,105,0.4780114722753346,0.8264462809917356,0.6056935190793458
RT-DETR-1,11,battery,782,1145,183,0.4058121432278153,0.8103626943005181,0.5408022130013831
RT-DETR-1,12,metal_cup,526,84,13,0.8622950819672132,0.9758812615955473,0.9155787641427329
RT-DETR-1,13,nail_clippers,243,60,78,0.801980198019802,0.7570093457943925,0.7788461538461539
RT-DETR-1,14,pressure_tank,194,102,22,0.6554054054054054,0.8981481481481481,0.7578124999999999
RT-DETR-1,15,spray_alcohol,343,535,150,0.3906605922551253,0.6957403651115619,0.5003646973012401
RT-DETR-1,16,portable_charger_1,317,161,36,0.6631799163179917,0.8980169971671388,0.762936221419976
RT-DETR-1,17,utility_knife,149,157,29,0.4869281045751634,0.8370786516853933,0.615702479338843
RT-DETR-1,18,mobile_phone,1008,462,63,0.6857142857142857,0.9411764705882353,0.7933884297520661
