model,confidence,tp,fp,fn,precision,recall,f1,macro_f1
EfficientNet-1,0.05,6708,78220,1288,0.07898455162019594,0.8389194597298649,0.14437604924454395,0.16816692714454773
EfficientNet-1,0.1,6377,43148,1619,0.12876325088339222,0.7975237618809404,0.22172771683385195,0.23781351456977612
EfficientNet-1,0.15,6151,28749,1845,0.1762464183381089,0.7692596298149075,0.28678664677359195,0.29365889928346284
EfficientNet-1,0.2,5966,20920,2030,0.2218998735401324,0.7461230615307654,0.34206754199873857,0.3392837395858984
EfficientNet-1,0.25,5777,15975,2219,0.26558477381390216,0.7224862431215607,0.3883958585451122,0.37344084322162174
EfficientNet-1,0.3,5592,12487,2404,0.3093091432048233,0.6993496748374187,0.4289165867689358,0.4020167342928647
EfficientNet-1,0.4,5298,8049,2698,0.39694313328837943,0.6625812906453227,0.49646254041137616,0.4500697219040327
EfficientNet-1,0.5,5018,5336,2978,0.48464361599381883,0.6275637818909455,0.5469209809264305,0.48296100253988483
EfficientNet-1,0.6,4684,3512,3312,0.5714982918496828,0.5857928964482241,0.5785573122529645,0.49974321546453526
EfficientNet-1,0.7,4387,2214,3609,0.6645962732919255,0.5486493246623312,0.6010824141946975,0.5094409226226047
EfficientNet-1,0.8,3972,1236,4024,0.7626728110599078,0.49674837418709356,0.6016358679188124,0.4968655506130359
EfficientNet-1,0.9,3309,531,4687,0.86171875,0.41383191595797897,0.5591416018925313,0.448101158279597
ResNet50-1,0.05,6782,89576,1214,0.07038336204570456,0.8481740870435217,0.12998064281196695,0.1500338675857493
ResNet50-1,0.1,6459,47975,1537,0.11865745673659844,0.8077788894447223,0.20691975012013455,0.22136321348698323
ResNet50-1,0.15,6206,31209,1790,0.16586930375517842,0.7761380690345172,0.2733258461606219,0.2803520228602385
ResNet50-1,0.2,5987,22387,2009,0.2110030309438218,0.7487493746873437,0.3292273852075887,0.3268727696482824
ResNet50-1,0.25,5818,16788,2178,0.25736530124745643,0.7276138069034517,0.3802365858440625,0.3685009849597439
ResNet50-1,0.3,5639,13040,2357,0.30188982279565285,0.7052276138069035,0.4227928772258669,0.3985517082198258
ResNet50-1,0.4,5325,8300,2671,0.3908256880733945,0.6659579789894947,0.49257666157902047,0.4471072260716184
ResNet50-1,0.5,5002,5376,2994,0.48198111389477744,0.6255627813906953,0.5444650048982258,0.4787252052178338
ResNet50-1,0.6,4696,3519,3300,0.5716372489348752,0.5872936468234117,0.5793596940349145,0.4925905963828835
ResNet50-1,0.7,4342,2177,3654,0.6660530756250959,0.5430215107553776,0.5982776438167413,0.49795957815416764
ResNet50-1,0.8,3886,1211,4110,0.7624092603492251,0.4859929964982491,0.5935996333918888,0.4808231646777297
ResNet50-1,0.9,3181,490,4815,0.8665213838191228,0.397823911955978,0.5452987057512643,0.4250950750445943
RT-DETR-1,0.05,7495,49186,501,0.13223125915209683,0.9373436718359179,0.23176708876416657,0.28214353087321
RT-DETR-1,0.1,7263,19798,733,0.26839362920808546,0.9083291645822912,0.4143537667227658,0.4505237977941766
RT-DETR-1,0.15,7121,10852,875,0.39620541923997105,0.8905702851425713,0.5484231198736955,0.5580855388216144
RT-DETR-1,0.2,6978,7035,1018,0.4979661742667523,0.8726863431715858,0.6341042300876913,0.6241458580335381
RT-DETR-1,0.25,6863,5001,1133,0.5784726904922455,0.858304152076038,0.6911379657603223,0.6708042091333628
RT-DETR-1,0.3,6760,3766,1236,0.6422192665779973,0.8454227113556778,0.7299427707590973,0.7046170609509403
RT-DETR-1,0.4,6550,2422,1446,0.7300490414623272,0.819159579789895,0.7720414898632719,0.7370945970947794
RT-DETR-1,0.5,6339,1682,1657,0.790300461289116,0.7927713856928464,0.7915339951301742,0.7503203659836457
RT-DETR-1,0.6,6123,1159,1873,0.8408404284537215,0.7657578789394698,0.8015447048042939,0.7550915740517183
RT-DETR-1,0.7,5841,803,2155,0.8791390728476821,0.7304902451225613,0.7979508196721311,0.7457764804458449
RT-DETR-1,0.8,5211,410,2785,0.9270592421277353,0.6517008504252126,0.7653668208856576,0.6986372698763897
RT-DETR-1,0.9,2721,93,5275,0.9669509594882729,0.34029514757378687,0.503422756706753,0.3693652518263862
