category_id,class_name,tp,fp,fn,precision,recall,f1
1,laptop,529,315,22,0.6267772511848341,0.9600725952813067,0.7584229390681003
2,lighter,21,182,156,0.10344827586206896,0.11864406779661017,0.11052631578947368
3,portable_charger_2,324,598,61,0.351409978308026,0.8415584415584415,0.4957918898240245
4,iron_shoe,103,1052,207,0.08917748917748917,0.33225806451612905,0.14061433447098975
5,straight_knife,108,345,78,0.23841059602649006,0.5806451612903226,0.3380281690140845
6,folding_knife,8,82,46,0.08888888888888889,0.14814814814814814,0.1111111111111111
7,scissor,195,435,63,0.30952380952380953,0.7558139534883721,0.4391891891891892
8,multi-tool_knife,332,624,37,0.3472803347280335,0.8997289972899729,0.5011320754716981
9,umbrella,359,702,75,0.3383600377002828,0.8271889400921659,0.4802675585284282
10,glass_bottle,397,1819,208,0.17915162454873645,0.656198347107438,0.28146047500886207
11,battery,649,2983,316,0.17868942731277532,0.672538860103627,0.2823580596040896
12,metal_cup,502,648,37,0.4365217391304348,0.9313543599257885,0.5944345766725874
13,nail_clippers,217,634,104,0.25499412455934195,0.67601246105919,0.3703071672354949
14,pressure_tank,142,385,74,0.269449715370019,0.6574074074074074,0.3822341857335128
15,spray_alcohol,106,1094,387,0.08833333333333333,0.2150101419878296,0.12522150029533372
16,portable_charger_1,295,675,58,0.30412371134020616,0.8356940509915014,0.44595616024187446
17,utility_knife,132,214,46,0.3815028901734104,0.7415730337078652,0.5038167938931298
18,mobile_phone,978,1762,93,0.35693430656934305,0.9131652661064426,0.5132511151928628
19,metal_can,313,1086,78,0.2237312365975697,0.8005115089514067,0.3497206703910614
20,drink_bottle,67,340,73,0.16461916461916462,0.4785714285714286,0.24497257769652653
