model,confidence,tp,fp,fn,precision,recall,f1,macro_f1
EfficientNet-1,0.05,6708,78220,1288,0.07898455162019594,0.8389194597298649,0.14437604924454395,0.16816692714454773
EfficientNet-1,0.1,6377,43148,1619,0.12876325088339222,0.7975237618809404,0.22172771683385195,0.23781351456977612
EfficientNet-1,0.15,6151,28749,1845,0.1762464183381089,0.7692596298149075,0.28678664677359195,0.29365889928346284
EfficientNet-1,0.2,5966,20920,2030,0.2218998735401324,0.7461230615307654,0.34206754199873857,0.3392837395858984
EfficientNet-1,0.25,5777,15975,2219,0.26558477381390216,0.7224862431215607,0.3883958585451122,0.37344084322162174
EfficientNet-1,0.3,5592,12487,2404,0.3093091432048233,0.6993496748374187,0.4289165867689358,0.4020167342928647
EfficientNet-1,0.4,5298,8049,2698,0.39694313328837943,0.6625812906453227,0.49646254041137616,0.4500697219040327
EfficientNet-1,0.5,5018,5336,2978,0.48464361599381883,0.6275637818909455,0.5469209809264305,0.48296100253988483
EfficientNet-1,0.6,4684,3512,3312,0.5714982918496828,0.5857928964482241,0.5785573122529645,0.49974321546453526
EfficientNet-1,0.7,4387,2214,3609,0.6645962732919255,0.5486493246623312,0.6010824141946975,0.5094409226226047
EfficientNet-1,0.8,3972,1236,4024,0.7626728110599078,0.49674837418709356,0.6016358679188124,0.4968655506130359
EfficientNet-1,0.9,3309,531,4687,0.86171875,0.41383191595797897,0.5591416018925313,0.448101158279597
