epoch,mAP_50_95,mAP_50,precision,recall,train_loss,val_loss
1,0.30694,0.4475,0.59237,0.4577,2.99132,1.50407
2,0.38847,0.57099,0.67559,0.52365,1.50012,1.33053
3,0.41574,0.60933,0.69329,0.56549,1.4386400000000001,1.2765300000000002
4,0.43379,0.62196,0.71704,0.55987,1.38762,1.22554
5,0.44418,0.64531,0.59198,0.63592,1.35085,1.23082
6,0.45608,0.66643,0.66124,0.64005,1.3132700000000002,1.19893
7,0.47498,0.69257,0.73021,0.63036,1.2793499999999998,1.15475
8,0.48581,0.70224,0.7184,0.65308,1.25834,1.14768
9,0.49473,0.71797,0.72976,0.66302,1.24974,1.13507
10,0.49893,0.7281,0.72082,0.68613,1.2251699999999999,1.12151
11,0.5034,0.72029,0.74544,0.66921,1.2100499999999998,1.10815
12,0.49967,0.7187,0.72166,0.66818,1.1996,1.11573
13,0.52047,0.74194,0.75566,0.6862,1.17523,1.08524
14,0.51116,0.73608,0.72888,0.70116,1.16909,1.09325
15,0.51725,0.74322,0.75146,0.70872,1.16069,1.08356
16,0.52511,0.75686,0.7793,0.69005,1.15011,1.08189
17,0.52652,0.75732,0.7356,0.72748,1.13322,1.06856
18,0.5179,0.7497,0.73094,0.69718,1.13472,1.07087
19,0.52602,0.7635,0.77978,0.697,1.11561,1.06651
20,0.53504,0.76355,0.7613,0.7186,1.10446,1.05182
21,0.54149,0.77147,0.78155,0.73667,1.083,1.0441099999999999
22,0.54495,0.77316,0.77016,0.73117,1.0851,1.0464
23,0.53845,0.77222,0.77334,0.72005,1.07327,1.05293
24,0.54415,0.77301,0.76448,0.73518,1.05988,1.04196
25,0.54741,0.77897,0.77644,0.72666,1.0502399999999998,1.05104
26,0.54621,0.77869,0.80739,0.70488,1.0421799999999999,1.05395
27,0.54364,0.77567,0.76435,0.7513,1.03549,1.04653
28,0.54338,0.77244,0.8059,0.71918,1.0239099999999999,1.0556400000000001
29,0.54836,0.7845,0.8123,0.7317,1.0211400000000002,1.04176
30,0.54859,0.78186,0.80915,0.721,1.00436,1.04613
31,0.54622,0.77952,0.78916,0.72765,0.9998800000000001,1.04402
32,0.54886,0.78822,0.78766,0.74523,0.99583,1.0543399999999998
33,0.55767,0.79629,0.81781,0.72852,0.98227,1.04575
34,0.55254,0.78456,0.8009,0.73614,0.9754,1.04388
35,0.55471,0.78897,0.79035,0.73603,0.96397,1.0507900000000001
36,0.55671,0.79514,0.81343,0.73349,0.9534900000000001,1.04487
37,0.55143,0.79016,0.79127,0.75431,0.9503900000000001,1.05271
38,0.55495,0.78777,0.7785,0.75058,0.93994,1.05274
39,0.55254,0.78204,0.80015,0.74135,0.93729,1.04806
40,0.55491,0.78535,0.80913,0.73222,0.9236499999999999,1.05752
41,0.55916,0.79175,0.79768,0.73568,0.80154,1.05829
42,0.55536,0.79261,0.8269,0.73001,0.7875599999999999,1.06328
43,0.55561,0.78601,0.82516,0.72626,0.7802800000000001,1.06675
44,0.55582,0.78925,0.8239,0.72699,0.77051,1.0665
45,0.55442,0.78732,0.83564,0.70809,0.7626200000000001,1.072
46,0.55404,0.79046,0.8211,0.73556,0.75434,1.07609
47,0.55578,0.79014,0.81447,0.74465,0.74704,1.07277
48,0.55554,0.78887,0.81043,0.74261,0.7423199999999999,1.07857
49,0.55595,0.79231,0.81474,0.7441,0.73241,1.0761800000000001
50,0.55423,0.79117,0.83881,0.72799,0.72702,1.07839
