category_id,class_name,tp,fp,fn,precision,recall,f1
1,laptop,539,98,12,0.8461538461538461,0.9782214156079855,0.9074074074074074
2,lighter,117,220,60,0.34718100890207715,0.6610169491525424,0.4552529182879377
3,portable_charger_2,357,186,28,0.6574585635359116,0.9272727272727272,0.7693965517241379
4,iron_shoe,246,156,64,0.6119402985074627,0.7935483870967742,0.6910112359550561
5,straight_knife,141,196,45,0.41839762611275966,0.7580645161290323,0.5391969407265774
6,folding_knife,19,71,35,0.2111111111111111,0.35185185185185186,0.26388888888888884
7,scissor,217,110,41,0.6636085626911316,0.8410852713178295,0.7418803418803419
8,multi-tool_knife,344,234,25,0.5951557093425606,0.9322493224932249,0.7265047518479409
9,umbrella,411,114,23,0.7828571428571428,0.9470046082949308,0.8571428571428571
10,glass_bottle,500,546,105,0.4780114722753346,0.8264462809917356,0.6056935190793458
11,battery,782,1145,183,0.4058121432278153,0.8103626943005181,0.5408022130013831
12,metal_cup,526,84,13,0.8622950819672132,0.9758812615955473,0.9155787641427329
13,nail_clippers,243,60,78,0.801980198019802,0.7570093457943925,0.7788461538461539
14,pressure_tank,194,102,22,0.6554054054054054,0.8981481481481481,0.7578124999999999
15,spray_alcohol,343,535,150,0.3906605922551253,0.6957403651115619,0.5003646973012401
16,portable_charger_1,317,161,36,0.6631799163179917,0.8980169971671388,0.762936221419976
17,utility_knife,149,157,29,0.4869281045751634,0.8370786516853933,0.615702479338843
18,mobile_phone,1008,462,63,0.6857142857142857,0.9411764705882353,0.7933884297520661
19,metal_can,316,241,75,0.5673249551166966,0.8081841432225064,0.6666666666666666
20,drink_bottle,94,123,46,0.43317972350230416,0.6714285714285714,0.5266106442577031
