model,confidence,tp,fp,fn,precision,recall,f1,macro_f1
RT-DETR-1,0.05,7495,49186,501,0.13223125915209683,0.9373436718359179,0.23176708876416657,0.28214353087321
RT-DETR-1,0.1,7263,19798,733,0.26839362920808546,0.9083291645822912,0.4143537667227658,0.4505237977941766
RT-DETR-1,0.15,7121,10852,875,0.39620541923997105,0.8905702851425713,0.5484231198736955,0.5580855388216144
RT-DETR-1,0.2,6978,7035,1018,0.4979661742667523,0.8726863431715858,0.6341042300876913,0.6241458580335381
RT-DETR-1,0.25,6863,5001,1133,0.5784726904922455,0.858304152076038,0.6911379657603223,0.6708042091333628
RT-DETR-1,0.3,6760,3766,1236,0.6422192665779973,0.8454227113556778,0.7299427707590973,0.7046170609509403
RT-DETR-1,0.4,6550,2422,1446,0.7300490414623272,0.819159579789895,0.7720414898632719,0.7370945970947794
RT-DETR-1,0.5,6339,1682,1657,0.790300461289116,0.7927713856928464,0.7915339951301742,0.7503203659836457
RT-DETR-1,0.6,6123,1159,1873,0.8408404284537215,0.7657578789394698,0.8015447048042939,0.7550915740517183
RT-DETR-1,0.7,5841,803,2155,0.8791390728476821,0.7304902451225613,0.7979508196721311,0.7457764804458449
RT-DETR-1,0.8,5211,410,2785,0.9270592421277353,0.6517008504252126,0.7653668208856576,0.6986372698763897
RT-DETR-1,0.9,2721,93,5275,0.9669509594882729,0.34029514757378687,0.503422756706753,0.3693652518263862
