category_id,class_name,tp,fp,fn,precision,recall,f1
1,laptop,530,430,21,0.5520833333333334,0.9618874773139746,0.7015221707478491
2,lighter,16,82,161,0.16326530612244897,0.0903954802259887,0.11636363636363635
3,portable_charger_2,328,582,57,0.36043956043956044,0.8519480519480519,0.5065637065637065
4,iron_shoe,114,1132,196,0.09149277688603531,0.36774193548387096,0.14652956298200515
5,straight_knife,96,345,90,0.21768707482993196,0.5161290322580645,0.3062200956937799
6,folding_knife,12,53,42,0.18461538461538463,0.2222222222222222,0.20168067226890757
7,scissor,195,390,63,0.3333333333333333,0.7558139534883721,0.4626334519572954
8,multi-tool_knife,340,634,29,0.3490759753593429,0.9214092140921409,0.5063291139240506
9,umbrella,362,881,72,0.2912308930008045,0.8341013824884793,0.4317233154442457
10,glass_bottle,392,1876,213,0.1728395061728395,0.6479338842975206,0.2728854855551688
11,battery,670,3240,295,0.17135549872122763,0.694300518134715,0.2748717948717949
12,metal_cup,504,772,35,0.3949843260188088,0.935064935064935,0.5553719008264463
13,nail_clippers,213,723,108,0.22756410256410256,0.6635514018691588,0.3389021479713604
14,pressure_tank,141,383,75,0.26908396946564883,0.6527777777777778,0.3810810810810811
15,spray_alcohol,124,953,369,0.11513463324048283,0.2515212981744422,0.15796178343949044
16,portable_charger_1,289,652,64,0.3071200850159405,0.8186968838526912,0.44667697063369405
17,utility_knife,131,202,47,0.3933933933933934,0.7359550561797753,0.512720156555773
18,mobile_phone,981,1885,90,0.3422889043963713,0.9159663865546218,0.4983489966979933
19,metal_can,310,1120,81,0.21678321678321677,0.7928388746803069,0.3404722679846238
20,drink_bottle,70,453,70,0.1338432122370937,0.5,0.21116138763197587
