model,confidence,tp,fp,fn,precision,recall,f1,macro_f1
ResNet50-1,0.05,6782,89576,1214,0.07038336204570456,0.8481740870435217,0.12998064281196695,0.1500338675857493
ResNet50-1,0.1,6459,47975,1537,0.11865745673659844,0.8077788894447223,0.20691975012013455,0.22136321348698323
ResNet50-1,0.15,6206,31209,1790,0.16586930375517842,0.7761380690345172,0.2733258461606219,0.2803520228602385
ResNet50-1,0.2,5987,22387,2009,0.2110030309438218,0.7487493746873437,0.3292273852075887,0.3268727696482824
ResNet50-1,0.25,5818,16788,2178,0.25736530124745643,0.7276138069034517,0.3802365858440625,0.3685009849597439
ResNet50-1,0.3,5639,13040,2357,0.30188982279565285,0.7052276138069035,0.4227928772258669,0.3985517082198258
ResNet50-1,0.4,5325,8300,2671,0.3908256880733945,0.6659579789894947,0.49257666157902047,0.4471072260716184
ResNet50-1,0.5,5002,5376,2994,0.48198111389477744,0.6255627813906953,0.5444650048982258,0.4787252052178338
ResNet50-1,0.6,4696,3519,3300,0.5716372489348752,0.5872936468234117,0.5793596940349145,0.4925905963828835
ResNet50-1,0.7,4342,2177,3654,0.6660530756250959,0.5430215107553776,0.5982776438167413,0.49795957815416764
ResNet50-1,0.8,3886,1211,4110,0.7624092603492251,0.4859929964982491,0.5935996333918888,0.4808231646777297
ResNet50-1,0.9,3181,490,4815,0.8665213838191228,0.397823911955978,0.5452987057512643,0.4250950750445943
