category_id,class_name,tp,fp,fn,precision,recall,f1
1,laptop,538,153,13,0.7785817655571635,0.9764065335753176,0.8663446054750403
2,lighter,78,322,99,0.195,0.4406779661016949,0.2703639514731369
3,portable_charger_2,342,320,43,0.5166163141993958,0.8883116883116883,0.6532951289398281
4,iron_shoe,202,655,108,0.23570595099183198,0.6516129032258065,0.34618680377035127
5,straight_knife,137,343,49,0.28541666666666665,0.7365591397849462,0.4114114114114114
6,folding_knife,15,59,39,0.20270270270270271,0.2777777777777778,0.234375
7,scissor,209,239,49,0.46651785714285715,0.810077519379845,0.5920679886685553
8,multi-tool_knife,345,348,24,0.49783549783549785,0.9349593495934959,0.6497175141242938
9,umbrella,395,292,39,0.5749636098981077,0.9101382488479263,0.7047279214986618
10,glass_bottle,483,1111,122,0.30301129234629864,0.7983471074380165,0.4392905866302865
11,battery,744,1700,221,0.3044189852700491,0.7709844559585493,0.43649163977706074
12,metal_cup,520,271,19,0.6573957016434893,0.9647495361781077,0.7819548872180452
13,nail_clippers,246,335,75,0.423407917383821,0.7663551401869159,0.5454545454545455
14,pressure_tank,179,255,37,0.41244239631336405,0.8287037037037037,0.5507692307692308
15,spray_alcohol,299,1236,194,0.19478827361563517,0.6064908722109533,0.2948717948717949
16,portable_charger_1,318,358,35,0.47041420118343197,0.9008498583569405,0.6180758017492712
17,utility_knife,142,149,36,0.4879725085910653,0.797752808988764,0.6055437100213219
18,mobile_phone,986,712,85,0.5806831566548881,0.9206349206349206,0.7121704586493318
19,metal_can,337,679,54,0.3316929133858268,0.8618925831202046,0.47903340440653874
20,drink_bottle,96,334,44,0.22325581395348837,0.6857142857142857,0.3368421052631579
