model,confidence,tp,fp,fn,precision,recall,f1,macro_f1
VGG16-4,0.05,7126,34864,870,0.16970707311264588,0.8911955977988995,0.28511983355339493,0.30576344912078446
VGG16-4,0.1,6941,21234,1055,0.24635314995563443,0.8680590295147573,0.38378811755273556,0.3926463826725185
VGG16-4,0.15,6828,15411,1168,0.3070281937137461,0.8539269634817409,0.45166198114767653,0.4520498658197648
VGG16-4,0.2,6707,12101,1289,0.35660357294768186,0.8387943971985993,0.500447694373974,0.4932169452691862
VGG16-4,0.25,6611,9871,1385,0.4011042349229462,0.8267883941970986,0.5401585096821636,0.5264494245085932
VGG16-4,0.3,6517,8219,1479,0.4422502714440825,0.8150325162581291,0.5733767376385712,0.555597171513408
VGG16-4,0.4,6348,5936,1648,0.5167697818300228,0.7938969484742371,0.6260355029585799,0.5975700211545988
VGG16-4,0.5,6186,4396,1810,0.5845775845775846,0.7736368184092046,0.66594897190225,0.6303621609058944
VGG16-4,0.6,5997,3220,1999,0.6506455462731908,0.75,0.6967989310404926,0.651012939503294
VGG16-4,0.7,5788,2273,2208,0.7180250589256916,0.7238619309654828,0.7209316808868406,0.6697426263327617
VGG16-4,0.8,5486,1497,2510,0.785622225404554,0.6860930465232616,0.7324921556846252,0.6735927014767296
VGG16-4,0.9,4900,756,3096,0.8663366336633663,0.6128064032016008,0.7178435394081454,0.6432053420123665
