epoch,mAP_50_95,mAP_50,precision,recall,train_loss,val_loss
1,0.30414,0.46003,0.60209,0.43567,4.73223,4.37908
2,0.3005,0.46202,0.54151,0.4229,4.3483,4.33771
3,0.32705,0.50414,0.53092,0.47633,4.28034,4.16974
4,0.33766,0.51438,0.56657,0.50206,4.171469999999999,4.06093
5,0.37465,0.56256,0.5754,0.52516,4.013059999999999,3.8738799999999998
6,0.38894,0.58582,0.64074,0.52406,3.9079999999999995,3.7795700000000005
7,0.38615,0.58524,0.60183,0.56745,3.79334,3.7890800000000002
8,0.41835,0.6169,0.6598,0.56604,3.70636,3.62292
9,0.42397,0.63728,0.6892,0.56876,3.67254,3.5667599999999995
10,0.44613,0.6603,0.69514,0.59983,3.6101599999999996,3.49362
11,0.45726,0.6714,0.68908,0.61601,3.54821,3.4510500000000004
12,0.4547,0.66273,0.71815,0.5953,3.48066,3.4130400000000005
13,0.46195,0.67989,0.71512,0.626,3.4358,3.37218
14,0.46358,0.6771,0.6772,0.64919,3.3976699999999997,3.3615700000000004
15,0.47302,0.69845,0.67766,0.65736,3.3830400000000003,3.3573199999999996
16,0.48009,0.69805,0.71274,0.63044,3.30497,3.33465
17,0.49285,0.71777,0.74759,0.65104,3.28309,3.24338
18,0.48463,0.70686,0.73863,0.64105,3.25699,3.23427
19,0.49526,0.72671,0.74229,0.66329,3.21668,3.2290099999999997
20,0.49922,0.72411,0.74771,0.66909,3.2083500000000003,3.20074
21,0.50169,0.72733,0.75189,0.66494,3.18818,3.21011
22,0.50546,0.73215,0.7335,0.68849,3.1354100000000003,3.14948
23,0.51091,0.73782,0.72159,0.6924,3.12969,3.14294
24,0.5148,0.74312,0.75383,0.68236,3.0717499999999998,3.1218000000000004
25,0.52421,0.75194,0.77923,0.67724,3.05619,3.09657
26,0.52411,0.75314,0.76585,0.69517,3.0425499999999994,3.06698
27,0.52676,0.75312,0.76494,0.68744,2.99817,3.07256
28,0.52965,0.76121,0.77417,0.69315,2.97506,3.05953
29,0.53467,0.76544,0.76958,0.71486,2.9626900000000003,3.04812
30,0.53632,0.76372,0.73437,0.72679,2.93464,3.0124199999999997
31,0.53283,0.76222,0.74677,0.71903,2.8926100000000003,3.0067199999999996
32,0.53456,0.76752,0.76334,0.71071,2.8845,3.01003
33,0.54025,0.77328,0.78929,0.71126,2.85228,2.9930399999999997
34,0.5488,0.78389,0.80095,0.71872,2.8340899999999998,2.9859999999999998
35,0.54068,0.77263,0.79331,0.70687,2.80419,2.9771
36,0.54246,0.7768,0.76727,0.74805,2.78267,2.9669499999999998
37,0.54712,0.78385,0.81079,0.71745,2.7668799999999996,2.9785500000000003
38,0.54547,0.78256,0.78109,0.73394,2.74672,2.96049
39,0.5433,0.77553,0.76962,0.7215,2.7026399999999997,2.9584599999999996
40,0.54933,0.78709,0.80354,0.72563,2.68825,2.94792
41,0.54785,0.78824,0.78331,0.74147,2.56743,2.95813
42,0.5473,0.78208,0.77846,0.72994,2.52129,2.95879
43,0.54491,0.7793,0.7847,0.72834,2.50792,2.9631
44,0.54657,0.78187,0.80487,0.70539,2.47282,2.96396
45,0.54694,0.78455,0.79151,0.7285,2.46371,2.96124
46,0.54681,0.78475,0.79753,0.73342,2.43575,2.951
47,0.54817,0.78412,0.78523,0.7323,2.4176200000000003,2.95589
48,0.5484,0.78497,0.81949,0.71951,2.39464,2.9693300000000002
49,0.54939,0.78426,0.80279,0.72961,2.36784,2.97285
50,0.55157,0.78858,0.80719,0.73166,2.36646,2.9626400000000004
