category_id,class_name,tp,fp,fn,precision,recall,f1
1,laptop,536,70,15,0.8844884488448845,0.9727767695099818,0.9265341400172861
2,lighter,86,39,91,0.688,0.4858757062146893,0.5695364238410596
3,portable_charger_2,333,79,52,0.808252427184466,0.8649350649350649,0.8356336260978671
4,iron_shoe,210,47,100,0.8171206225680934,0.6774193548387096,0.7407407407407407
5,straight_knife,131,53,55,0.7119565217391305,0.7043010752688172,0.7081081081081081
6,folding_knife,21,17,33,0.5526315789473685,0.3888888888888889,0.4565217391304348
7,scissor,207,27,51,0.8846153846153846,0.8023255813953488,0.8414634146341462
8,multi-tool_knife,339,97,30,0.7775229357798165,0.9186991869918699,0.8422360248447205
9,umbrella,404,68,30,0.8559322033898306,0.9308755760368663,0.891832229580574
10,glass_bottle,445,169,160,0.7247557003257329,0.7355371900826446,0.7301066447908121
11,battery,628,376,337,0.6254980079681275,0.6507772020725389,0.6378872524123921
12,metal_cup,520,43,19,0.9236234458259325,0.9647495361781077,0.9437386569872959
13,nail_clippers,224,42,97,0.8421052631578947,0.6978193146417445,0.7632027257240203
14,pressure_tank,181,49,35,0.7869565217391304,0.8379629629629629,0.811659192825112
15,spray_alcohol,260,106,233,0.7103825136612022,0.5273833671399595,0.6053550640279395
16,portable_charger_1,308,83,45,0.7877237851662404,0.8725212464589235,0.8279569892473118
17,utility_knife,140,61,38,0.6965174129353234,0.7865168539325843,0.7387862796833774
18,mobile_phone,973,183,98,0.8416955017301038,0.9084967320261438,0.8738212842388864
19,metal_can,296,134,95,0.6883720930232559,0.7570332480818415,0.7210718635809988
20,drink_bottle,92,70,48,0.5679012345679012,0.6571428571428571,0.6092715231788078
