model,confidence,tp,fp,fn,precision,recall,f1,macro_f1
YOLOv11-1,0.05,6784,5043,1212,0.5736027733152955,0.848424212106053,0.6844574484185038,0.6626628188948157
YOLOv11-1,0.1,6629,3380,1367,0.6623039264661804,0.82903951975988,0.7363510136073312,0.71009197295614
YOLOv11-1,0.15,6513,2621,1483,0.7130501423253777,0.8145322661330665,0.7604203152364273,0.7309968352476114
YOLOv11-1,0.2,6414,2163,1582,0.7478139209513815,0.8021510755377689,0.7740300488746756,0.7449899967838866
YOLOv11-1,0.25,6334,1813,1662,0.7774640972136982,0.7921460730365183,0.7847364182617853,0.7537731961845946
YOLOv11-1,0.3,6269,1553,1727,0.8014574277678344,0.7840170085042522,0.7926412947275256,0.7600774934842403
YOLOv11-1,0.4,6114,1158,1882,0.8407590759075908,0.764632316158079,0.8008907518993975,0.7629552503416234
YOLOv11-1,0.5,5904,873,2092,0.8711819389110226,0.7383691845922962,0.7992960129966831,0.7535287573480365
YOLOv11-1,0.6,5651,631,2345,0.899554282075772,0.7067283641820911,0.7915674464210675,0.741522794128435
YOLOv11-1,0.7,5240,437,2756,0.9230227232693324,0.655327663831916,0.7664740729905655,0.7094203529062694
YOLOv11-1,0.8,4310,212,3686,0.9531180893409995,0.5390195097548774,0.6886084038983863,0.6144350553567091
YOLOv11-1,0.9,1398,34,6598,0.9762569832402235,0.17483741870935468,0.2965634280865507,0.22287422978814214
